Rank,Name,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8806,Thor: God of Thunder,2011,Action,0.07,0.06,0,0.02,0.15
8807,Fantastic Four: Rise of the Silver Surfer,2007,Action,0.12,0.02,0,0.02,0.15
8808,Metal Slug Anthology,2006,Shooter,0.12,0.01,0,0.01,0.15
8809,GoldenEye 007 (2010),2010,Action,0.11,0.03,0,0.01,0.15
8810,Jikkyou Powerful Pro Yakyuu 2012,2012,Action,0,0,0.15,0,0.15
8811,All Japan Pro Wrestling featuring Virtua,1997,Fighting,0,0,0.15,0,0.15
8812,Rudra no Hihou,1996,Role-Playing,0,0,0.15,0,0.15
8813,Gundam Breaker 2,2014,Action,0,0,0.15,0,0.15
8814,Prince of Persia: The Sands of Time,2003,Action,0.11,0.04,0,0,0.15
8815,Cake Mania: In The Mix!,2008,Puzzle,0.14,0,0,0.01,0.15
8816,Zoids: Battle Legends,2003,Action,0.12,0.03,0,0,0.15
8817,World Series Baseball 2K3,2003,Sports,0.11,0.03,0,0.01,0.15
8818,Serious Sam,2002,Shooter,0.11,0.03,0,0.01,0.15
8819,Kowloon's Gate,1997,Adventure,0,0,0.14,0.01,0.15
8820,Killer7,2005,Action,0.12,0.03,0,0,0.15
8821,Kingdom of Paradise,2005,Role-Playing,0.14,0,0,0.01,0.15
8822,Hidden Mysteries: Salem Secrets - Witch Trials of 1692,2010,Puzzle,0.09,0.04,0,0.01,0.15
8823,NBA Street Homecourt,2007,Sports,0.12,0.02,0,0.02,0.15
8824,The Sims Medieval: Pirates and Nobles,2011,Simulation,0.05,0.08,0,0.02,0.15
8825,The Cursed Crusade,2011,Action,0.08,0.05,0,0.01,0.15
8826,Super Monkey Ball Adventure,2006,Platform,0.12,0.03,0,0,0.15
8827,Kids Learn Math: A+ Edition,2011,Misc,0.14,0,0,0.01,0.15
8828,FIFA Soccer 2002,2001,Sports,0.08,0.06,0,0.01,0.15
8829,Build-A-Bear Workshop: Welcome to Hugsville,2010,Misc,0.14,0,0,0.01,0.15
8830,Street Fighter Anniversary Collection,2004,Fighting,0.11,0.03,0,0.01,0.15
8831,Final Fantasy XI: Vana'diel Collection 2008,2007,Role-Playing,0.13,0,0.01,0.01,0.15
8832,Suzumiya Haruhi no Yakusoku,2007,Adventure,0,0,0.15,0,0.15
8833,Shadow Ops: Red Mercury,2004,Shooter,0.11,0.03,0,0.01,0.15
8834,Indigo Prophecy,2005,Adventure,0.07,0.06,0,0.02,0.15
8835,Mind Zero,2013,Role-Playing,0.08,0,0.04,0.02,0.15
8836,World League Soccer,1991,Sports,0,0,0.15,0,0.15
8837,NBA ShootOut 2001,2001,Sports,0.07,0.06,0,0.02,0.15
8838,Earth Defense Force 2025,2013,Shooter,0.06,0.04,0.05,0.01,0.15
8839,Spider-Man: Friend or Foe,2007,Action,0.13,0.01,0,0.01,0.15
8840,Ultimate Board Game Collection,2007,Misc,0.14,0,0,0.01,0.15
8841,Syndicate,2012,Shooter,0.07,0.06,0,0.02,0.15
8842,Samurai Shodown Anthology,2008,Fighting,0.07,0.06,0,0.02,0.15
8843,NBA 09: The Inside,2008,Sports,0.14,0,0,0.01,0.15
8844,Musashi: Samurai Legend,2005,Role-Playing,0.07,0.06,0,0.02,0.15
8845,Saint Seiya: Soldiers' Soul,2015,Fighting,0,0.09,0.04,0.02,0.15
8846,Terraria,2011,Action,0,0.13,0,0.02,0.15
8847,Castlevania: Lords of Shadow - Mirror of Fate,2013,Action,0.04,0.07,0.03,0.01,0.15
8848,3rd Super Robot Wars Z: Tengoku-Hen,2015,Action,0,0,0.15,0,0.15
8849,Fantasia: Music Evolved,2014,Misc,0.11,0.03,0,0.01,0.15
8850,Pokémon: Johto Photo Finish: Game Boy Advance Video,2004,Misc,0.11,0.04,0,0,0.15
8851,F1 2001,2001,Racing,0.07,0.06,0,0.02,0.15
8852,The Legend of Heroes: Trails of Cold Steel II,2014,Role-Playing,0.02,0,0.13,0.01,0.15
8853,Top Gun: Combat Zones,2002,Simulation,0.12,0.03,0,0,0.15
8854,J-League Victory Goal,1995,Sports,0,0,0.15,0,0.15
8855,Bakugan Battle Brawlers: Defenders of the Core,2010,Action,0.09,0.04,0,0.03,0.15
8856,Oreshika: Tainted Bloodlines,2014,Role-Playing,0,0,0.15,0,0.15
8857,White Knight Chronicles: Origins,2011,Role-Playing,0,0.04,0.09,0.02,0.15
8858,Return to PopoloCrois: A Story of Seasons Fairytale,2015,Simulation,0.04,0,0.1,0.01,0.15
8859,Spongebob Squarepants / Fairly Odd Parents Double Pack,2005,Action,0.11,0.04,0,0,0.15
8860,History Civil War: Secret Missions,2008,Shooter,0.07,0.06,0,0.02,0.15
8861,NHL 09,2008,Sports,0.07,0.06,0,0.02,0.15
8862,Mirror's Edge Catalyst,2016,Platform,0.08,0.05,0,0.02,0.15
8863,Derby Stallion 64,2001,Sports,0,0,0.15,0,0.15
8864,Doraemon 3: Nobi Dai no Machi SOS!,2000,Platform,0,0,0.09,0.06,0.15
8865,Space Station Silicon Valley,1997,Adventure,0.12,0.03,0,0,0.15
8866,Dark Rift,1997,Fighting,0.12,0.03,0,0,0.15
8867,Tokyo Xanadu,2015,Role-Playing,0,0,0.15,0,0.15
8868,All-Star Baseball 2003,2002,Sports,0.12,0.03,0,0,0.15
8869,Burger Island,2009,Action,0.14,0,0,0.01,0.15
8870,Petz: Dogz Talent Show,2009,Simulation,0.14,0,0,0.01,0.15
8871,T'ai Fu: Wrath of the Tiger,1998,Action,0.08,0.06,0,0.01,0.15
8872,Rocky,2002,Fighting,0.11,0.03,0,0.01,0.15
8873,Ford Racing 2,2003,Racing,0.11,0.03,0,0.01,0.15
8874,Odin Sphere: Leifthrasir,2016,Role-Playing,0.02,0.03,0.08,0.02,0.15
8875,Sam & Max: Season One,2008,Adventure,0.13,0.01,0,0.01,0.15
8876,Virtua Tennis 4,2011,Sports,0.05,0.08,0,0.02,0.15
8877,Tetris Attack,1995,Puzzle,0,0,0.15,0,0.15
8878,Candace Kane's Candy Factory,2008,Action,0.14,0,0,0.01,0.15
8879,BloodRayne 2,2004,Shooter,0.11,0.03,0,0.01,0.15
8880,Hot Wheels: Beat That!,2007,Racing,0.13,0,0,0.01,0.15
8881,Soldier of Fortune: Payback,2007,Shooter,0.12,0.02,0,0.01,0.15
8882,Jaws Unleashed,2006,Action,0.11,0.03,0,0.01,0.15
8883,Pro Yaky? Spirits 6,2009,Sports,0,0,0.15,0,0.15
8884,Star Trek: Voyager Elite Force,2001,Shooter,0.07,0.06,0,0.02,0.15
8885,X-Men: The Official Game,2006,Action,0.12,0.03,0,0,0.15
8886,Brain Boost: Gamma Wave,2005,Puzzle,0.14,0,0,0.01,0.15
8887,Scarface: The World is Yours,2007,Action,0.12,0.01,0,0.01,0.15
8888,Rock Band: Metal Track Pack,2009,Misc,0.14,0,0,0.01,0.15
8889,Chessmaster II,1998,Strategy,0.08,0.06,0,0.01,0.15
8890,All-Star Baseball 2003,2002,Sports,0.11,0.04,0,0,0.15
8891,Scooby-Doo! Mystery Mayhem,2004,Action,0.11,0.03,0,0.01,0.15
8892,Winning Post 4,1999,Sports,0,0,0.14,0.01,0.15
8893,Major League Baseball 2K13,2013,Sports,0.14,0,0,0.01,0.15
8894,DreamWorks Super Star Kartz,2011,Racing,0.1,0.04,0,0.01,0.15
8895,Pro Baseball Spirits 2015,2015,Action,0,0,0.15,0,0.15
8896,187: Ride or Die,2005,Racing,0.07,0.06,0,0.02,0.15
8897,Curious George,2006,Action,0.11,0.03,0,0,0.15
8898,Strawberry Shortcake: Game Boy Advance Video Volume 1,2004,Misc,0.11,0.04,0,0,0.15
8899,Armored Core: For Answer,2008,Simulation,0.06,0.01,0.07,0.01,0.15
8900,Geist,2005,Adventure,0.11,0.03,0,0,0.15
8901,eJay Clubworld,2007,Misc,0.07,0.06,0,0.02,0.15
8902,Cardinal Syn,1998,Fighting,0.08,0.06,0,0.01,0.15
8903,Charm Girls Club: Pajama Party,2009,Misc,0.14,0,0,0.01,0.15
8904,Street Fighter Alpha 3,2002,Fighting,0.11,0.04,0,0,0.15
8905,The Wizard of Oz: Beyond The Yellow Brick Road,2008,Role-Playing,0.13,0,0,0.01,0.15
8906,Mobile Suit Gundam Side Story III: Sabakareshi Mono,1997,Shooter,0,0,0.15,0,0.15
8907,Ridge Racer DS,2004,Racing,0.14,0,0,0.01,0.15
8908,Warriors Orochi 3,2014,Action,0.04,0.05,0.04,0.02,0.15
8909,Nancy Drew: The White Wolf of Icicle Creek,2008,Adventure,0.14,0,0,0.01,0.15
8910,Super Street Fighter II,1993,Fighting,0,0,0.15,0,0.15
8911,Metal Gear Solid: Peace Walker HD Edition,2011,Action,0,0,0.15,0,0.15
8912,Battle Stadium D.O.N,2006,Fighting,0,0,0.15,0,0.15
8913,No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,2000,Sports,0,0,0.14,0.01,0.15
8914,Brain Boost: Beta Wave,2005,Puzzle,0.14,0,0,0.01,0.15
8915,Power Pro Kun Pocket 9,2006,Sports,0,0,0.15,0,0.15
8916,Rubik's World,2008,Puzzle,0.13,0.01,0,0.01,0.15
8917,Gallop & Ride!,2008,Sports,0.14,0,0,0.01,0.15
8918,Shenmue II,2001,Adventure,0,0,0.15,0,0.15
8919,Major League Baseball 2K8,2008,Sports,0.07,0.06,0,0.02,0.15
8920,Capcom Classics Collection,2005,Misc,0.11,0.03,0,0.01,0.15
8921,Fugitive Hunter: War on Terror,2003,Shooter,0.07,0.06,0,0.02,0.15
8922,The Incredible Hulk: Ultimate Destruction,2005,Action,0.11,0.03,0,0,0.15
8923,Prince of Persia: The Two Thrones,2005,Action,0.11,0.03,0,0,0.15
8924,Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,2011,Adventure,0,0,0.15,0,0.15
8925,Baseball Blast!,2009,Sports,0.14,0,0,0.01,0.15
8926,Pac-Man World 3,2005,Platform,0.11,0.04,0,0.01,0.15
8927,The Walking Dead: Season Two,2014,Adventure,0.1,0,0.01,0.03,0.15
8928,Harvest Moon: Hero of Leaf Valley,2009,Simulation,0.07,0.02,0.05,0.02,0.15
8929,Phantasy Star Online Episode I & II,2003,Role-Playing,0.11,0.03,0,0.01,0.15
8930,F1 2012,2012,Racing,0.01,0.11,0,0.03,0.15
8931,All-Star Baseball 2005,2007,Sports,0.11,0.03,0,0.01,0.15
8932,Rayman Raving Rabbids,2007,Misc,0.13,0.01,0,0.01,0.15
8933,Kung-Fu: High Impact,2011,Action,0.08,0.06,0,0.01,0.15
8934,SNK Arcade Classics Vol. 1,2008,Misc,0.13,0,0.01,0.01,0.15
8935,Darkstalkers Chronicle: The Chaos Tower,2004,Fighting,0.13,0,0,0.01,0.15
8936,NHL 2K10,2009,Sports,0.11,0.02,0,0.01,0.15
8937,Batman Begins,2005,Action,0.11,0.03,0,0,0.15
8938,Toy Story Racer,2001,Racing,0.08,0.06,0,0.01,0.15
8939,Yakuza: Ishin,2014,Action,0,0,0.15,0,0.15
8940,F1 2011,2011,Racing,0.03,0.08,0.01,0.03,0.15
8941,Disney's Donald Duck: Goin' Quackers,2000,Platform,0.08,0.06,0,0.01,0.15
8942,Mobile Suit Gundam: Perfect One Year War,1997,Strategy,0,0,0.14,0.01,0.15
8943,Galerians,1999,Adventure,0.08,0.06,0,0.01,0.15
8944,Crash: Twinsanity,2004,Platform,0.11,0.03,0,0.01,0.15
8945,DrumMania,2000,Simulation,0,0,0.15,0,0.15
8946,Yu-Gi-Oh! Nightmare Troubadour (US sales),2005,Action,0.15,0,0,0,0.15
8947,Code:Realize - Sousei no Himegimi,2014,Adventure,0.09,0,0.03,0.03,0.15
8948,Hoppechan: Tsukutte! Asonde! Punipuni Town!!,2013,Action,0,0,0.15,0,0.15
8949,Deus Ex: Mankind Divided,2016,Role-Playing,0.08,0.06,0,0.01,0.15
8950,Arena Football,2006,Sports,0.11,0.03,0,0.01,0.15
8951,Tamagotchi no Narikiri Channel,2009,Role-Playing,0,0,0.15,0,0.15
8952,Power Pro Kun Pocket 1+2,2004,Sports,0,0,0.14,0,0.15
8953,Rayman Origins,2012,Platform,0.06,0.08,0,0.01,0.15
8954,Thor: God of Thunder,2011,Action,0.09,0.04,0,0.01,0.15
8955,Medal of Honor: Infiltrator,2003,Shooter,0.11,0.04,0,0,0.15
8956,Risen 2: Dark Waters,2012,Role-Playing,0.05,0.08,0,0.01,0.15
8957,Blazing Dragons,1996,Adventure,0.08,0.06,0,0.01,0.15
8958,Geometry Wars: Galaxies,2007,Shooter,0.13,0,0,0.01,0.15
8959,Super Monkey Ball Deluxe,2005,Misc,0.11,0.03,0,0.01,0.15
8960,Shin Megami Tensei: Devil Summoner - Soul Hackers,1999,Role-Playing,0,0,0.14,0.01,0.15
8961,Shin Chan: ¡Aventuras de Cine!,2008,Platform,0,0,0.15,0,0.15
8962,Alien: Isolation,2014,Shooter,0,0.13,0,0.01,0.15
8963,High Velocity Bowling,2010,Sports,0.13,0,0,0.01,0.15
8964,Tamagotchi Collection,2011,Misc,0,0,0.15,0,0.15
8965,Pac-Man Party 3D,2011,Misc,0.09,0.04,0,0.01,0.15
8966,"NewU Fitness First Mind Body, Yoga & Pilates Workout",2010,Sports,0.12,0.02,0,0.01,0.15
8967,Backyard Sports: Sandlot Sluggers,2010,Sports,0.14,0,0,0.01,0.15
8968,Turbo Prop Racing,1997,Racing,0.08,0.06,0,0.01,0.15
8969,Barbie Superpack: Secret Agent / Groovy Games,2005,Misc,0.1,0.04,0,0,0.15
8970,Tom Clancy's Ghost Recon,2003,Shooter,0.11,0.03,0,0,0.15
8971,Dance Dance Revolution (North America),2001,Simulation,0.08,0.06,0,0.01,0.15
8972,Bakugan Battle Brawlers: Defenders of the Core,2010,Action,0.11,0.02,0,0.01,0.15
8973,Mad Dash Racing,2001,Racing,0.11,0.03,0,0.01,0.15
8974,Dreamworks 2-in-1 Party Pack,2010,Misc,0.14,0,0,0.01,0.15
8975,Summon Night 5,2013,Role-Playing,0,0,0.15,0,0.15
8976,MotoGP 2: Ultimate Racing Technology,2001,Racing,0.07,0.06,0,0.02,0.15
8977,Black * Rock Shooter: The Game,2011,Role-Playing,0,0,0.15,0,0.15
8978,Travel Games For Dummies,2008,Misc,0.13,0,0,0.01,0.15
8979,BMX XXX,2002,Sports,0.07,0.06,0,0.02,0.15
8980,SafeCracker: The Ultimate Puzzle Adventure,2009,Puzzle,0.07,0.06,0,0.01,0.15
8981,Tiger Woods PGA Tour,2004,Sports,0.13,0,0,0.01,0.15
8982,Dragon Ball Z: Idainaru Dragon Ball Densetsu,1995,Fighting,0,0,0.15,0,0.15
8983,Sonic Advance & Sonic Pinball Party Combo Pack,2005,Misc,0.1,0.04,0,0,0.15
8984,Boktai: The Sun is in Your Hand,2003,Role-Playing,0.1,0.04,0,0,0.15
8985,Cars: Mater-National Championship,2007,Racing,0.13,0,0,0.01,0.15
8986,Making History: The Great War,2010,Strategy,0,0,0.15,0,0.15
8987,Drawn to Life Collection,2010,Misc,0.14,0,0,0.01,0.15
8988,Guilty Gear X2 #Reload,2004,Fighting,0.11,0.03,0,0.01,0.15
8989,Wizardry VII: Gadeia no Houshu,1995,Role-Playing,0,0,0.14,0.01,0.15
8990,Dynasty Warriors 8: Xtreme Legends,2013,Action,0.04,0.03,0.05,0.02,0.15
8991,Moshi Monsters: Katsuma Unleashed,2013,Action,0,0.13,0,0.02,0.15
8992,Elf: The Movie,2004,Action,0.1,0.04,0,0,0.15
8993,Metal Slug 7,2008,Shooter,0.13,0,0.01,0.01,0.15
8994,MLB SlugFest 20-03,2002,Sports,0.11,0.03,0,0,0.15
8995,Tamagotchi no Appare! Niji Venture,2007,Role-Playing,0,0,0.14,0,0.14
8996,Grabbed by the Ghoulies,2003,Action,0.11,0.03,0,0.01,0.14
8997,Ys: The Oath in Felghana,2010,Role-Playing,0.09,0,0.04,0.01,0.14
8998,Shadow Hearts: From The New World,2005,Role-Playing,0.07,0.06,0,0.02,0.14
8999,Mega Man Powered Up,2006,Platform,0.12,0.01,0,0.02,0.14
9000,CSI: 3 Dimensions of Murder,2007,Adventure,0.07,0.06,0,0.02,0.14
9001,Barbarian,2002,Fighting,0.07,0.06,0,0.02,0.14
9002,QuickSpot,2006,Misc,0.02,0,0.13,0,0.14
9003,Deception IV: Blood Ties,2014,Action,0.03,0.03,0.07,0.02,0.14
9004,Tennis no Oji-Sama: Aim at The Victory!,2002,Sports,0,0,0.14,0,0.14
9005,L.A. Rush,2005,Racing,0.11,0.03,0,0.01,0.14
9006,"Lunar 2: Eternal Blue(sales, but wrong system)",1994,Role-Playing,0,0,0.14,0,0.14
9007,Where the Wild Things Are,2009,Platform,0.13,0,0,0.01,0.14
9008,Pipe Dreams 3D,2001,Puzzle,0.08,0.05,0,0.01,0.14
9009,Derby Stallion Gold,2014,Sports,0,0,0.14,0,0.14
9010,Adventure Time: Explore the Dungeon Because I Don't Know!,2013,Action,0.1,0.03,0,0.01,0.14
9011,Lost Dimension,2014,Role-Playing,0.07,0.03,0.02,0.03,0.14
9012,Fox Sports Golf '99,1997,Sports,0.08,0.05,0,0.01,0.14
9013,Jurassic: The Hunted,2009,Shooter,0.07,0.06,0,0.02,0.14
9014,Power Rangers: Super Legends,2007,Action,0.07,0.06,0,0.02,0.14
9015,Sakura Wars GB,2000,Adventure,0,0,0.14,0,0.14
9016,Shining Force CD,1994,Strategy,0,0,0.14,0,0.14
9017,Rayman 3,2003,Platform,0.1,0.04,0,0,0.14
9018,Fatal Frame,2001,Action,0.07,0.06,0,0.02,0.14
9019,The Fifth Element,1998,Action,0.08,0.05,0,0.01,0.14
9020,Kung Fu Panda 2,2011,Action,0.08,0.05,0,0.01,0.14
9021,Fast Food Panic,2010,Simulation,0.13,0,0,0.01,0.14
9022,Diner Dash: Flo on the Go,2009,Puzzle,0.13,0,0,0.01,0.14
9023,Adrenalin Misfits,2010,Racing,0.12,0.02,0,0.01,0.14
9024,Okaeri! Chibi-Robo! Happy Richie Oosouji,2009,Adventure,0,0,0.14,0,0.14
9025,Wild ARMs 4,2005,Role-Playing,0.07,0.06,0,0.02,0.14
9026,Haunted House,2010,Action,0.13,0,0,0.01,0.14
9027,Ratatouille,2007,Action,0.11,0.03,0,0,0.14
9028,G.I. Joe: The Rise of Cobra,2009,Action,0.11,0,0,0.03,0.14
9029,Casper: Spirit Dimensions,2001,Platform,0.07,0.05,0,0.02,0.14
9030,Super Robot Taisen OG Saga: Endless Frontier (JP sales),2008,Role-Playing,0,0,0.14,0,0.14
9031,Sengoku Musou 3 Empires,2011,Action,0,0,0.14,0,0.14
9032,Dream Pinball 3D,2008,Misc,0.1,0.03,0,0.01,0.14
9033,Thunder Truck Rally,1997,Racing,0.08,0.05,0,0.01,0.14
9034,Dishonored,2015,Action,0.08,0.05,0,0.01,0.14
9035,Klonoa: Empire of Dreams,2001,Platform,0.1,0.04,0,0,0.14
9036,G.I. Joe: The Rise of Cobra,2009,Action,0.11,0.02,0,0.02,0.14
9037,Dragon Age: Origins - Ultimate Edition,2010,Role-Playing,0,0.12,0,0.02,0.14
9038,Balloon Pop,2009,Puzzle,0.13,0,0,0.01,0.14
9039,Disney Infinity 2.0: Marvel Super Heroes,2015,Action,0,0.11,0,0.03,0.14
9040,Iron & Blood,1996,Fighting,0.08,0.05,0,0.01,0.14
9041,Asphalt: Urban GT 2,2006,Racing,0.09,0.04,0,0.01,0.14
9042,Pinball Hall of Fame: The Gottlieb Collection,2006,Misc,0.13,0,0,0.01,0.14
9043,Second Sight,2004,Adventure,0.07,0.05,0,0.02,0.14
9044,Spider-Man: Edge of Time,2011,Action,0.12,0.01,0,0.01,0.14
9045,Monster House,2006,Adventure,0.07,0.05,0,0.02,0.14
9046,Phantom Brave,2004,Role-Playing,0.07,0.05,0,0.02,0.14
9047,Just Cause,2006,Action,0.1,0.03,0.01,0.01,0.14
9048,ArmA II,2009,Shooter,0,0.12,0,0.03,0.14
9049,Championship Motocross 2001 featuring Ricky Carmichael,2001,Racing,0.08,0.05,0,0.01,0.14
9050,Kenka Banchou 5: Otoko no Housoku,2011,Action,0,0,0.14,0,0.14
9051,Legend of the Guardians: The Owls of Ga'Hoole,2010,Action,0.11,0.02,0,0.01,0.14
9052,Doshin the Giant,2002,Simulation,0,0,0.14,0,0.14
9053,Shrek 2 and Shark Tale 2-in-1 Pack,2005,Misc,0.1,0.04,0,0,0.14
9054,Star Ocean: Blue Sphere,2001,Role-Playing,0,0,0.14,0,0.14
9055,Mojo!,2003,Puzzle,0.07,0.05,0,0.02,0.14
9056,Destroy All Humans! Big Willy Unleashed,2008,Action,0.13,0,0,0.01,0.14
9057,Age of Empires: Collector's Edition,2000,Strategy,0.02,0.1,0,0.02,0.14
9058,Ford Racing Off Road,2008,Racing,0.05,0.08,0,0.02,0.14
9059,Kamen Rider Ryuki,2002,Action,0,0,0.13,0.01,0.14
9060,Front Mission Alternative,1997,Strategy,0,0,0.13,0.01,0.14
9061,World Championship Poker: Howard Lederer - All In,2006,Misc,0.13,0,0,0.01,0.14
9062,FIFA Soccer 2005,2004,Sports,0.11,0.03,0,0,0.14
9063,Cave Story 3D,2011,Platform,0.09,0.03,0.01,0.01,0.14
9064,The Orange Box,2007,Shooter,0,0.11,0,0.03,0.14
9065,Super Dodgeball Brawlers,2008,Sports,0.13,0,0,0.01,0.14
9066,Victorious Boxers: Revolution,2007,Fighting,0.07,0,0.06,0.01,0.14
9067,Record of Agarest War 2,2010,Role-Playing,0.09,0,0.04,0.01,0.14
9068,SBK 2011: FIM Superbike World Championship,2011,Racing,0.01,0.1,0,0.03,0.14
9069,Power Stone,1998,Fighting,0,0,0.14,0,0.14
9070,Jonny Moseley Mad Trix,2001,Sports,0.07,0.05,0,0.02,0.14
9071,Monster Lab,2008,Role-Playing,0.12,0.01,0,0.01,0.14
9072,Uta no * Prince-Sama: Repeat,2011,Adventure,0,0,0.14,0,0.14
9073,Senran Kagura Burst: Guren no Sh?jo-tachi,2012,Action,0,0,0.14,0,0.14
9074,MTV Music Generator 3: This Is the Remix,2004,Misc,0.07,0.05,0,0.02,0.14
9075,Cake Mania 3,2009,Simulation,0.13,0,0,0.01,0.14
9076,.hack//Link,2010,Role-Playing,0,0,0.14,0,0.14
9077,Terminator 3: Rise of the Machines,2003,Action,0.11,0.03,0,0.01,0.14
9078,Star Wars: Knights of the Old Republic,2003,Role-Playing,0.01,0.1,0,0.02,0.14
9079,SSX On Tour,2005,Sports,0.11,0.03,0,0.01,0.14
9080,NCAA College Basketball 2K3,2002,Sports,0.11,0.03,0,0.01,0.14
9081,Class of Heroes,2008,Role-Playing,0.06,0,0.08,0.01,0.14
9082,Yogi Bear: The Video Game,2010,Action,0.1,0.03,0,0.01,0.14
9083,Our House Party!,2007,Simulation,0.13,0,0,0.01,0.14
9084,The Legend of Heroes II: Prophecy of the Moonlight Witch,2004,Role-Playing,0.03,0,0.11,0,0.14
9085,Cranium Kabookii,2007,Misc,0.13,0,0,0.01,0.14
9086,Hero's Saga Laevatein Tactics,2008,Role-Playing,0.13,0,0,0.01,0.14
9087,Doom,2001,Shooter,0.1,0.04,0,0,0.14
9088,Gundam Breaker 2,2014,Action,0,0,0.14,0,0.14
9089,TRINITY: Souls of Zill O'll,2010,Role-Playing,0.06,0.03,0.03,0.02,0.14
9090,Mary-Kate and Ashley: Winners Circle,2001,Action,0.08,0.05,0,0.01,0.14
9091,PaRappa The Rapper 2,2001,Misc,0.07,0.05,0,0.02,0.14
9092,Hexyz Force,2009,Role-Playing,0.07,0,0.06,0.01,0.14
9093,OutRun 2,2004,Racing,0.11,0.03,0,0.01,0.14
9094,Okami,2012,Action,0,0,0.14,0,0.14
9095,Marvel vs. Capcom 2: New Age of Heroes,2000,Fighting,0,0,0.14,0,0.14
9096,Hitman: Blood Money,2006,Action,0.11,0.03,0,0.01,0.14
9097,Soukaigi,1998,Role-Playing,0,0,0.13,0.01,0.14
9098,Naruto Shippuden: Ninja Destiny 3,2006,Fighting,0,0.01,0.13,0,0.14
9099,Xevious 3D/G+,1997,Shooter,0.01,0.01,0.11,0.01,0.14
9100,Pipe Mania,2008,Puzzle,0.07,0.05,0,0.02,0.14
9101,Gretzky NHL 06,2005,Sports,0.13,0,0,0.01,0.14
9102,Shonen Jump's Shaman King: Master of Spirits,2004,Role-Playing,0.1,0.04,0,0,0.14
9103,PANGYA: Fantasy Golf,2009,Sports,0.09,0,0.04,0.01,0.14
9104,NFL Blitz 20-03,2002,Sports,0.11,0.03,0,0.01,0.14
9105,Sumikko Gurashi: Omise Hajimerundesu,2015,Action,0,0,0.14,0,0.14
9106,Pirates: The Legend of Black Kat,2002,Adventure,0.07,0.05,0,0.02,0.14
9107,Fur Fighters: Viggo's Revenge,2001,Action,0.07,0.05,0,0.02,0.14
9108,Krull,1982,Action,0.13,0.01,0,0,0.14
9109,Yu-Gi-Oh! Monster Capture GB,2000,Role-Playing,0,0,0.14,0,0.14
9110,Risen,2009,Role-Playing,0,0.11,0,0.03,0.14
9111,Top Spin 3,2008,Action,0.11,0.02,0,0.01,0.14
9112,Zapper: One Wicked Cricket!,2002,Platform,0.1,0.04,0,0,0.14
9113,The Da Vinci Code,2006,Action,0.07,0.05,0,0.02,0.14
9114,Watch Dogs,2014,Action,0.08,0.05,0,0.01,0.14
9115,Mr. Driller: Drill Spirits,2004,Puzzle,0.08,0,0.05,0.01,0.14
9116,Arctic Tale,2007,Adventure,0.13,0,0,0.01,0.14
9117,Scooby-Doo! Night of 100 Frights,2003,Platform,0.11,0.03,0,0.01,0.14
9118,MX vs. ATV Reflex,2009,Racing,0.13,0,0,0.01,0.14
9119,Anno 1701: Dawn of Discovery,2007,Simulation,0.07,0.06,0,0.02,0.14
9120,Chicken Shoot,2007,Action,0.13,0,0,0.01,0.14
9121,Dead to Rights,2002,Shooter,0.11,0.03,0,0,0.14
9122,Sphinx and the Cursed Mummy,2003,Action,0.11,0.03,0,0,0.14
9123,Cabela's Outdoor Adventures (2009),2009,Sports,0.07,0.05,0,0.02,0.14
9124,T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,1998,Adventure,0.08,0.05,0,0.01,0.14
9125,Naruto RPG 2: Chidori vs Rasengan,2005,Role-Playing,0,0,0.14,0,0.14
9126,Destruction Derby Raw,2000,Racing,0.08,0.05,0,0.01,0.14
9127,Project V6,1998,Strategy,0,0,0.13,0.01,0.14
9128,Farming Simulator 2012,2012,Action,0,0.12,0,0.02,0.14
9129,NFL Head Coach 09,2008,Sports,0.13,0,0,0.01,0.14
9130,World Tour Soccer 2003,2002,Sports,0.07,0.05,0,0.02,0.14
9131,Akiba's Trip,2011,Adventure,0,0,0.14,0,0.14
9132,Bravo Air Race,1997,Racing,0.08,0.05,0,0.01,0.14
9133,Onimusha Essentials,2008,Action,0.07,0.05,0,0.02,0.14
9134,Blazing Angels 2: Secret Missions of WWII,2007,Simulation,0.11,0.02,0,0.01,0.14
9135,Gundam: The Battle Master,1997,Fighting,0,0,0.13,0.01,0.14
9136,Spyro: A Hero's Tail,2004,Platform,0.11,0.03,0,0.01,0.14
9137,¡Shin Chan Flipa en colores!,2007,Platform,0,0,0.14,0,0.14
9138,Just Cause 3,2015,Action,0.03,0.11,0,0.01,0.14
9139,Eternal Poison,2008,Role-Playing,0.07,0.05,0,0.02,0.14
9140,Lord of the Rings: Tactics,2005,Strategy,0.11,0.02,0,0.02,0.14
9141,X-Blades,2009,Action,0.1,0.02,0.02,0.01,0.14
9142,Gretzky NHL 06,2005,Sports,0.07,0.05,0,0.02,0.14
9143,Gungrave: Overdose,2004,Shooter,0.07,0.05,0,0.02,0.14
